Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 12 Aug 2015, 41883, 150812/0000, 24.85, 89.36, 20.0, -3.26, -4.96, -5.57, 270.20, 43.30, 22.50, 22.70, 45.20, 2728.31, 2901.96, 0.00, 0.00, 128.42, 128.35, 957.97, 960.33, 973.20, 1035.15, 299.41, 971.06, 301.97, 22.79, 5813.00, 83.11
 00Z 14 Aug 2015, 41883, 150814/0000, 24.85, 89.36, 20.0, -1.77, -5.12, -5.70, 265.80, 37.00, 21.30, 22.10, 43.40, 2537.35, 2731.18, 0.00, 0.00, 957.45, 961.63, 617.08, 664.22, 299.51, 970.82, 302.09, 22.95, 5793.00, 79.45
 00Z 16 Aug 2015, 41883, 150816/0000, 24.85, 89.36, 20.0, -1.35, -2.65, -3.15, 273.39, 41.50, 20.40, 22.10, 42.50, 1369.91, 1502.12, 0.00, 0.00, 135.27, 131.90, 972.45, 971.90, 614.57, 673.89, 298.81, 974.80, 301.03, 21.88, 5792.00, 80.67
 00Z 20 Aug 2015, 41883, 150820/0000, 24.85, 89.36, 20.0, -1.32, -2.23, -2.45, 303.00, 40.90, 20.90, 20.90, 41.80, 935.22, 1010.10, -0.61, -0.49, 140.30, 138.52, 930.04, 931.39, 93.58, 101.08, 297.82, 957.97, 301.53, 20.95, 5800.00, 83.32
 00Z 22 Aug 2015, 41883, 150822/0000, 24.85, 89.36, 20.0, 0.34, -0.59, -0.65, 426.12, 38.70, 19.70, 19.70, 39.40, 317.58, 341.61, 0.00, 0.00, 220.31, 222.46, 946.51, 949.19, 38.00, 40.88, 297.11, 964.08, 300.27, 19.92, 5797.00, 81.81
 00Z 24 Aug 2015, 41883, 150824/0000, 24.85, 89.36, 20.0, -2.40, -4.57, -5.16, 265.40, 37.80, 21.90, 21.90, 43.80, 2684.22, 2879.63, -0.09, -0.11, 107.59, 107.55, 939.40, 939.27, 896.61, 961.88, 299.01, 962.81, 302.28, 22.42, 5810.00, 78.32
 00Z 26 Aug 2015, 41883, 150826/0000, 24.85, 89.36, 20.0, -3.68, -4.26, -4.67, 249.79, 42.50, 22.70, 23.70, 46.40, 1842.68, 1966.26, -46.14, -40.90, 128.57, 126.85, 820.08, 834.41, 7689.42, 8205.14, 297.85, 946.99, 302.56, 21.24, 5810.00, 80.80
 00Z 30 Aug 2015, 41883, 150830/0000, 24.85, 89.36, 20.0, -2.52, -4.09, -4.52, 292.02, 41.10, 22.10, 22.10, 44.20, 1690.36, 1814.02, -0.23, -0.10, 131.20, 129.45, 937.37, 939.97, 131.80, 141.44, 298.17, 955.41, 302.11, 21.46, 5810.00, 81.64
 00Z 01 Aug 2016, 41883, 160801/0000, 24.85, 89.36, 20.0, -0.01, -5.48, -6.06, 242.42, 34.50, 19.70, 24.30, 44.00, 1786.77, 2001.65, -28.33, -15.01, 144.29, 144.21, 866.85, 889.16, 112.24, 125.73, 296.76, 934.52, 302.58, 20.18, 5829.00, 61.09
 12Z 01 Aug 2016, 41883, 160801/1200, 24.85, 89.36, 20.0, 0.98, -2.93, -3.48, 254.00, 33.00, 18.40, 22.50, 40.90, 1172.30, 1374.58, -9.85, -0.18, 154.27, 153.70, 821.29, 861.29, 78.05, 91.52, 294.10, 863.85, 306.69, 18.49, 5854.00, 61.75
 00Z 02 Aug 2016, 41883, 160802/0000, 24.85, 89.36, 20.0, 0.28, -2.09, -2.45, 275.19, 37.10, 19.10, 23.10, 42.20, 768.12, 858.50, -65.38, -37.31, 155.28, 154.48, 756.60, 792.12, 39.30, 43.93, 296.02, 939.17, 301.41, 19.24, 5830.00, 67.34
 00Z 03 Aug 2016, 41883, 160803/0000, 24.85, 89.36, 20.0, 1.62, -2.71, -3.20, 274.38, 34.50, 18.00, 22.30, 40.30, 1164.62, 1328.97, -13.34, -1.67, 167.98, 167.33, 848.63, 921.91, 37.08, 42.31, 296.57, 939.58, 301.93, 19.94, 5827.00, 64.27
 12Z 03 Aug 2016, 41883, 160803/1200, 24.85, 89.36, 20.0, 2.17, -1.91, -2.81, 266.60, 31.80, 17.20, 21.50, 38.70, 850.58, 1084.90, -10.14, 0.00, 158.70, 157.82, 713.50, 863.04, 32.84, 41.89, 294.06, 863.04, 306.71, 18.45, 5865.00, 58.21
 00Z 04 Aug 2016, 41883, 160804/0000, 24.85, 89.36, 20.0, 3.25, -0.83, -1.61, 261.21, 32.90, 16.10, 21.10, 37.20, 835.26, 1028.08, -50.10, -21.75, 166.80, 165.91, 785.47, 854.21, 48.54, 59.74, 295.79, 919.91, 302.95, 19.33, 5845.00, 59.29
 12Z 04 Aug 2016, 41883, 160804/1200, 24.85, 89.36, 20.0, 2.79, -1.19, -2.17, 277.61, 30.20, 16.60, 20.40, 37.00, 945.25, 1215.52, -4.08, 0.00, 144.31, 144.07, 851.27, 863.81, 63.11, 81.15, 294.35, 863.81, 306.94, 18.78, 5865.00, 57.07
 00Z 05 Aug 2016, 41883, 160805/0000, 24.85, 89.36, 20.0, 0.75, -2.29, -2.86, 271.80, 35.60, 18.90, 21.50, 40.40, 1290.65, 1459.75, -0.28, 0.00, 141.31, 140.57, 931.50, 934.77, 135.23, 152.95, 296.64, 934.77, 302.44, 20.01, 5842.00, 67.69
 12Z 05 Aug 2016, 41883, 160805/1200, 24.85, 89.36, 20.0, 2.66, -1.93, -2.68, 259.61, 31.20, 16.80, 20.90, 37.70, 1223.29, 1450.66, -2.59, 0.00, 139.88, 138.78, 861.99, 882.39, 65.37, 77.52, 295.11, 882.39, 305.86, 19.26, 5854.00, 61.82
 00Z 06 Aug 2016, 41883, 160806/0000, 24.85, 89.36, 20.0, 1.12, -2.92, -3.37, 262.81, 31.40, 18.60, 22.50, 41.10, 857.53, 1034.45, -2.28, -0.22, 146.58, 146.39, 898.85, 938.34, 611.96, 738.22, 296.60, 943.86, 301.57, 19.84, 5830.00, 62.80
 00Z 07 Aug 2016, 41883, 160807/0000, 24.85, 89.36, 20.0, 1.20, -1.20, -1.61, 255.20, 35.40, 18.80, 20.90, 39.70, 503.69, 630.93, -5.77, -1.40, 174.93, 171.99, 876.10, 927.63, 71.13, 89.10, 296.03, 941.02, 301.23, 19.11, 5830.00, 66.78
 12Z 07 Aug 2016, 41883, 160807/1200, 24.85, 89.36, 20.0, 1.65, -2.60, -3.29, 247.22, 35.30, 18.00, 20.90, 38.90, 1494.98, 1713.11, -0.03, 0.00, 136.51, 134.50, 898.58, 902.57, 2194.28, 2514.43, 296.06, 902.57, 304.87, 19.99, 66.53
