Date,Station identifier,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 12 May 1989, VGTJ, 41923, 890512/0000, 23.76, 90.37, 9.0, 22.64, 22.63, 18.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 249.57, 726.69, 273.45, 1.11, 4819.97, 0.07
 00Z 13 May 1989, VGTJ, 41923, 890513/0000, 23.76, 90.37, 9.0, 7.88, 4.03, 3.50, 283.96, 18.30, 9.70, 24.70, 34.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 289.00, 886.96, 299.10, 13.00, 5787.00, 34.22
 00Z 14 May 1989, VGTJ, 41923, 890514/0000, 23.76, 90.37, 9.0, -0.21, 1.75, 1.13, 206.62, 36.20, 19.10, 28.10, 47.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 289.12, 903.41, 297.67, 12.82, 5758.00, 32.52
 00Z 15 May 1989, VGTJ, 41923, 890515/0000, 23.76, 90.37, 9.0, -2.75, -6.56, -7.62, 307.39, 33.40, 23.20, 24.70, 47.90, 1705.99, 1985.85, -4.54, -2.18, 138.27, 137.12, 911.49, 924.00, 24.23, 28.20, 296.58, 946.11, 301.32, 19.65, 5764.00, 52.94
 00Z 16 May 1989, VGTJ, 41923, 890516/0000, 23.76, 90.37, 9.0, 0.88, 1.57, 0.97, 218.81, 29.30, 19.10, 22.90, 42.00, 0.00, 20.23, 0.00, -142.14, 617.23, 723.09, 0.00, 0.44, 292.69, 933.10, 298.57, 15.60, 5766.00, 46.37
 00Z 17 May 1989, VGTJ, 41923, 890517/0000, 23.76, 90.37, 9.0, -0.04, 0.19, -0.02, 275.80, 33.80, 20.40, 22.90, 43.30, 0.00, 0.64, 0.00, -136.17, 496.12, 502.20, 0.00, 0.01, 293.69, 949.58, 298.08, 16.32, 5784.00, 57.79
 00Z 18 May 1989, VGTJ, 41923, 890518/0000, 23.76, 90.37, 9.0, -0.34, -0.93, -1.61, 234.58, 36.40, 20.70, 22.30, 43.00, 377.89, 518.87, -37.86, -31.49, 274.18, 274.28, 813.75, 823.60, 59.81, 82.12, 294.59, 945.02, 299.42, 17.37, 5785.00, 55.81
 00Z 19 May 1989, VGTJ, 41923, 890519/0000, 23.76, 90.37, 9.0, -0.39, -0.88, -1.31, 221.59, 35.70, 20.30, 22.90, 43.20, 220.88, 329.51, -73.04, -57.52, 319.87, 328.39, 743.79, 772.17, 126.49, 188.70, 294.95, 948.54, 299.45, 17.69, 5812.00, 58.25
 00Z 20 May 1989, VGTJ, 41923, 890520/0000, 23.76, 90.37, 9.0, -2.15, -4.57, -5.27, 225.78, 37.20, 22.60, 23.90, 46.50, 1170.36, 1349.80, -15.58, -10.70, 139.31, 138.26, 877.59, 888.25, 583.26, 672.68, 295.13, 927.88, 301.54, 18.32, 5781.00, 57.37
 00Z 22 May 1989, VGTJ, 41923, 890522/0000, 23.76, 90.37, 9.0, 1.94, -0.74, -1.96, 238.80, 32.70, 17.70, 21.30, 39.00, 248.85, 453.87, -31.70, -17.47, 819.63, 843.59, 296.22, 947.18, 300.86, 19.19, 5811.00, 42.62
 00Z 23 May 1989, VGTJ, 41923, 890523/0000, 23.76, 90.37, 9.0, 0.96, -2.59, -3.23, 243.81, 26.90, 18.50, 22.50, 41.00, 719.19, 1006.03, -21.05, -7.14, 182.62, 183.42, 819.83, 879.29, 79.13, 110.69, 297.04, 951.13, 301.34, 20.12, 5831.00, 51.04
 00Z 27 May 1989, VGTJ, 41923, 890527/0000, 23.76, 90.37, 9.0, 23.10, 277.28, 5858.00, 0.00
 00Z 28 May 1989, VGTJ, 41923, 890528/0000, 23.76, 90.37, 9.0, -2.31, -4.07, -4.45, 443.80, 38.90, 22.10, 22.70, 44.80, 1433.84, 1579.40, -10.87, -7.68, 884.71, 894.88, 8.91, 9.81, 296.83, 936.76, 302.44, 20.16, 5814.00, 70.95
 00Z 30 May 1989, VGTJ, 41923, 890530/0000, 23.76, 90.37, 9.0, 0.40, -2.18, -3.44, 242.58, 19.60, 21.50, 41.10, 1100.40, 1537.14, -11.74, -6.80, 877.48, 896.12, 222.08, 310.22, 296.53, 948.02, 301.12, 19.56, 5782.00, 27.65
