Date,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Equilibrum Level,Equilibrum Level using virtual temperature,Level of Free Convection,LFCT using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 19 Aug 1994, 41977, 940819/0000, 22.35, 91.80, 34.0, -0.16, 1.13, 1.01, 243.59, 37.30, 20.60, 21.50, 42.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 294.00, 953.75, 298.04, 17.93, 5786.00, 68.81
 00Z 21 Aug 1994, 41977, 940821/0000, 22.35, 91.80, 34.0, -2.51, -4.29, -4.84, 247.00, 40.30, 22.30, 22.90, 45.20, 2115.33, 2266.34, -0.17, -0.01, 131.82, 130.75, 947.67, 952.24, 1497.03, 1603.90, 297.72, 961.20, 301.12, 20.75, 5836.00, 72.82
 00Z 22 Aug 1994, 41977, 940822/0000, 22.35, 91.80, 34.0, -0.65, -1.97, -2.42, 258.00, 35.60, 20.90, 21.50, 42.40, 528.95, 656.85, -23.33, -23.14, 149.82, 149.76, 868.44, 872.59, 193.44, 240.21, 295.81, 942.68, 300.87, 18.79, 5781.00, 65.79
 00Z 23 Aug 1994, 41977, 940823/0000, 22.35, 91.80, 34.0, -0.43, -2.19, -2.73, 243.40, 37.10, 20.70, 22.10, 42.80, 964.24, 1087.83, -12.07, -7.89, 181.91, 181.38, 868.37, 887.65, 301.97, 340.67, 296.03, 955.53, 299.93, 18.80, 5774.00, 65.49
 00Z 24 Aug 1994, 41977, 940824/0000, 22.35, 91.80, 34.0, 1.06, -1.72, -2.22, 226.98, 34.70, 19.30, 21.70, 41.00, 806.89, 978.66, -14.27, -10.96, 145.13, 144.62, 866.05, 884.56, 231.54, 280.84, 296.11, 962.44, 299.39, 18.74, 5762.00, 58.77
 00Z 25 Aug 1994, 41977, 940825/0000, 22.35, 91.80, 34.0, 0.46, -2.48, -2.88, 237.00, 36.30, 19.90, 21.30, 41.20, 2781.71, 3047.74, -2.87, -1.43, 139.65, 138.18, 930.93, 939.39, 451.25, 494.41, 296.67, 957.39, 300.40, 19.52, 5786.00, 51.77
 00Z 27 Aug 1994, 41977, 940827/0000, 22.35, 91.80, 34.0, -1.62, -3.64, -4.16, 249.00, 40.00, 21.10, 23.50, 44.60, 1523.13, 1676.46, -9.11, -1.47, 137.41, 136.50, 831.95, 938.91, 178.77, 196.77, 297.04, 950.31, 301.41, 20.17, 15829.00, 68.38
 00Z 28 Aug 1994, 41977, 940828/0000, 22.35, 91.80, 34.0, -1.09, -3.12, -3.61, 255.75, 39.00, 21.00, 22.70, 43.70, 1778.72, 1918.74, -12.30, -6.92, 132.87, 131.61, 870.10, 902.73, 247.68, 267.18, 296.54, 949.54, 300.98, 19.54, 15819.00, 66.94
 00Z 29 Aug 1994, 41977, 940829/0000, 22.35, 91.80, 34.0, -1.10, -1.26, -1.82, 250.60, 38.50, 20.90, 21.70, 42.60, 983.85, 1107.28, -16.03, -12.83, 171.65, 170.75, 807.62, 817.85, 3926.53, 4419.13, 296.69, 965.36, 299.72, 19.37, 5784.00, 67.89
 00Z 30 Aug 1994, 41977, 940830/0000, 22.35, 91.80, 34.0, -0.74, -3.42, -3.91, 219.59, 36.10, 21.10, 22.70, 43.80, 1510.65, 1674.50, -0.25, 0.00, 948.71, 954.55, 774.49, 858.49, 296.58, 963.08, 299.80, 19.31, 15789.00, 61.36
 00Z 31 Aug 1994, 41977, 940831/0000, 22.35, 91.80, 34.0, -0.36, -3.07, -3.51, 210.18, 37.60, 20.90, 22.30, 43.20, 1167.92, 1296.15, -0.57, -0.03, 140.92, 140.22, 940.30, 948.77, 2212.34, 2455.24, 296.17, 957.82, 299.86, 18.95, 15799.00, 63.91
 00Z 01 Aug 1996, 41977, 960801/0000, 22.35, 91.80, 34.0, -1.04, -1.25, -2.50, 267.80, 20.90, 20.90, 41.80, 3923.09, 4387.17, -21.41, -19.41, 186.51, 185.25, 855.73, 857.08, 2796.27, 3127.06, 295.51, 922.55, 302.43, 18.86, 15769.00, 27.01
 00Z 02 Aug 1996, 41977, 960802/0000, 22.35, 91.80, 34.0, -2.34, -2.90, -3.16, 259.21, 41.70, 22.10, 22.10, 44.20, 1109.23, 1179.41, -8.10, -6.62, 143.98, 143.15, 877.10, 881.84, 88.70, 94.31, 296.75, 944.68, 301.65, 19.88, 15779.00, 79.07
 00Z 03 Aug 1996, 41977, 960803/0000, 22.35, 91.80, 34.0, -2.94, -3.14, -3.41, 275.20, 42.30, 22.70, 22.70, 45.40, 775.95, 846.76, -4.63, -3.92, 186.16, 185.55, 871.29, 874.31, 92.81, 101.28, 296.95, 956.90, 300.75, 19.87, 15769.00, 77.45
 00Z 04 Aug 1996, 41977, 960804/0000, 22.35, 91.80, 34.0, -3.09, -2.60, -3.10, 280.79, 42.90, 22.50, 22.50, 45.00, 498.43, 583.56, -33.29, -35.86, 207.25, 207.41, 688.26, 686.09, 181.10, 212.03, 296.91, 947.55, 301.56, 20.02, 15799.00, 79.88
 00Z 05 Aug 1996, 41977, 960805/0000, 22.35, 91.80, 34.0, -1.12, -1.09, -1.57, 272.98, 40.70, 20.70, 20.70, 41.40, 558.36, 651.18, -14.19, -13.30, 172.87, 170.47, 846.46, 845.75, 284.41, 331.69, 296.84, 947.59, 301.48, 19.94, 15819.00, 77.37
